//All new/added keys can be found within these lines
// PC PORT: Translate: (New keys)
// PC PORT: END: Translate

//All modified/altered keys can be found within these lines
// PC PORT: Translate: (Old key, new value)
// PC PORT: END: Translate

*game_english
{
	*MENU_CONTENTLOADFAILED		"Unable to load '§p0'."
	*CHAR_MORDESSA			"Mordessa"
	*CHARDESC_MORDESSA		"The powerful and cruel leader of the Dreg'atar"
	*CHAR_MORDESSA_GOOD		"Mordessa"
	*CHARDESC_MORDESSA_GOOD	"The powerful and cruel leader of the Dreg'atar"
	*CHAR_ASSEMBLY			"Assembly Guard"
	*CHARDESC_ASSEMBLY		"The Guard is a member of the Assembly of Six Circle around Queen Ayndirel"
	*CHAR_SKELETON			"Skeleton Warrior"
	*CHARDESC_SKELETON		"The lowest and weakest creature of the Dreg'atar"
	*CHAR_SCAARA			"Scaara"
	*CHARDESC_SCAARA		"A strange frog-human creature"
	//-- New Characters end --//

	// Items
	*ITEMNAME_WEAPON_DAGGER_SHORT "Short Dagger"
	*ITEMDESC_WEAPON_DAGGER_SHORT "The standard dagger weapon. Often used as last resort."
	*ITEMNAME_WEAPON_DAGGER_LONG "Long Dagger"
	*ITEMDESC_WEAPON_DAGGER_LONG "A fast, but  weak weapon. If wielded skillfully it may prove useful."
	*ITEMNAME_WEAPON_DAGGER_CURVED "Curved Dagger"
	*ITEMDESC_WEAPON_DAGGER_CURVED "With its viciously curved blade, it can cut deep wounds."
	*ITEMNAME_WEAPON_DAGGER_ANCIENT "Ancient Dagger"
	*ITEMDESC_WEAPON_DAGGER_ANCIENT "Made of finest Meckelon steel, this is a well-crafted dagger"
	*ITEMNAME_WEAPON_DAGGER_SACRIFICE "Ceremonial Dagger"
	*ITEMDESC_WEAPON_DAGGER_SACRIFICE "Do not be tricked by the fine ornaments. This is a sharp weapon.."
	*ITEMNAME_WEAPON_DAGGER_POISON "Poisoned Dagger"
	*ITEMDESC_WEAPON_DAGGER_POISON "Enhanced with poison, this is the tool of a true Assassin. "
	*ITEMNAME_WEAPON_SWORD_SHORT "Short Sword"
	*ITEMDESC_WEAPON_SWORD_SHORT "Weakest of the swords, it is often favoured when nothing else is available."
	*ITEMNAME_WEAPON_SWORD_LIGHTSHORT "Sword"
	*ITEMDESC_WEAPON_SWORD_LIGHTSHORT "Weakest of the sword class weapons, it simply performs its duty."
	*ITEMNAME_WEAPON_SWORD_SHORTANCIENT "Ancient Short Sword"
	*ITEMDESC_WEAPON_SWORD_SHORTANCIENT "The blade of the common Meckelon foot soldier. Fast and reliable."
	*ITEMNAME_WEAPON_SWORD_BROAD "Broad Sword"
	*ITEMDESC_WEAPON_SWORD_BROAD "Despite its length, its broad blade makes it a very damaging weapon."
	*ITEMNAME_WEAPON_SWORD_LONG "Long Sword"
	*ITEMDESC_WEAPON_SWORD_LONG "Good and balanced, this is a good weapon choice for the melee fighter"
	*ITEMNAME_WEAPON_SWORD_SCIMITAR "Scimitar"
	*ITEMDESC_WEAPON_SWORD_SCIMITAR "With its curved and balanced blade, the Scimitar is easy to wield."
	*ITEMNAME_WEAPON_SWORD_ANCIENT "Ancient Sword"
	*ITEMDESC_WEAPON_SWORD_ANCIENT "Issued to more seasoned Meckelon fighters, this is a well crafted weapon."
	*ITEMNAME_WEAPON_SWORD_DWARVEN "Dwarven Sword"
	*ITEMDESC_WEAPON_SWORD_DWARVEN "This blade was smithed deep down in the Ungard mines before the Rift."
	*ITEMNAME_WEAPON_SWORD_SABRE "Runed Blade"
	*ITEMDESC_WEAPON_SWORD_SABRE "Every Runed Blade is a masterpiece in its own right."
	*ITEMNAME_WEAPON_SWORD_FALCHION "Falcion"
	*ITEMDESC_WEAPON_SWORD_FALCHION "Legends say that these blades were crafted in the Underworld."
	*ITEMNAME_WEAPON_SWORD_BASTARD "Bastard Sword"
	*ITEMDESC_WEAPON_SWORD_BASTARD "Tall and sleek, this weapon can cut through entire ranks of enemies."
	*ITEMNAME_WEAPON_SWORD_WARRIOR "Ehrick's Bane"
	*ITEMDESC_WEAPON_SWORD_WARRIOR "The legandary Bane Sword of the Legendary Champion Ehrick of Celenheim."
	*ITEMNAME_WEAPON_SWORD_FIRE "Fireblade"
	*ITEMDESC_WEAPON_SWORD_FIRE "Enchanted with magical fire, this blade will burn through the thickest armour."
	*ITEMNAME_WEAPON_SWORD_MORDESSA "Mordessa"
	*ITEMDESC_WEAPON_SWORD_MORDESSA "The Sword of Mordessa, crafted in the depths of the Underworld."
	*ITEMNAME_WEAPON_SWORD_ASSEMBLY "Assembly Sword"
	*ITEMDESC_WEAPON_SWORD_ASSEMBLY "Crafted for Celenheim's Elite Guards."
	*ITEMNAME_WEAPON_SWORD_FROST "Frost Sword"
	*ITEMDESC_WEAPON_SWORD_FROST "Cold can burn more fiercely than the hottest flame."
	*ITEMNAME_WEAPON_SWORD_FROST2 "Frost Sword"
	*ITEMDESC_WEAPON_SWORD_FROST2 "Cold can burn more fiercely than the hottest flame."
	*ITEMNAME_WEAPON_AXE_BEARDED "Bearded Axe"
	*ITEMDESC_WEAPON_AXE_BEARDED "Weakest among the axes, it's often used when nothing else is available."
	*ITEMNAME_WEAPON_AXE_KAMA "Kama"
	*ITEMDESC_WEAPON_AXE_KAMA "A useful piece of weaponry, but its long shape makes it awkward to swing."
	*ITEMNAME_WEAPON_AXE_SHORT "Short Axe"
	*ITEMDESC_WEAPON_AXE_SHORT "Light and balanced, this axe is easy to wield but somewhat ineffective."
	*ITEMNAME_WEAPON_AXE_BRUTE "Brute Axe"
	*ITEMDESC_WEAPON_AXE_BRUTE "The Brute's Axe is sharp and very well balanced."
	*ITEMNAME_WEAPON_AXE_PIKE "Dwarven Axe"
	*ITEMDESC_WEAPON_AXE_PIKE "With this weapon, the wielder can easily hack through enemies."
	*ITEMNAME_WEAPON_AXE_POLEARM "Polearm"
	*ITEMDESC_WEAPON_AXE_POLEARM "Long and heavy, this weapon can deliver vicious damage."
	*ITEMNAME_WEAPON_AXE_TRIDENT "Trident"
	*ITEMDESC_WEAPON_AXE_TRIDENT "With its three sharp points, this weapon can deliver vicious damage."
	*ITEMNAME_WEAPON_AXE_BATTLE "Battle Axe"
	*ITEMDESC_WEAPON_AXE_BATTLE "Weighted, and forged in the finest steel, this is one of the best axes."
	*ITEMNAME_WEAPON_AXE_WAR "War Axe"
	*ITEMDESC_WEAPON_AXE_WAR "The berserkers dream. This axe can defeat the most powerful foes."
	*ITEMNAME_WEAPON_AXE_SHATTER "Shatter Axe"
	*ITEMDESC_WEAPON_AXE_SHATTER "The sheer size of this weapon turns it into a very damaging weapon."
	*ITEMNAME_WEAPON_AXE_GREAT "Great Axe"
	*ITEMDESC_WEAPON_AXE_GREAT "With its sheer size and weight, it can easily cut through armour."
	*ITEMNAME_WEAPON_AXE_MAGIC "Axe of Slaying"
	*ITEMDESC_WEAPON_AXE_MAGIC "With its magically enchanced blade, this axe is a true epic weapon."
	*ITEMNAME_WEAPON_HAMMER_SPIKED "Spiked Club"
	*ITEMDESC_WEAPON_HAMMER_SPIKED "Despite its sharp spikes, this is nothing more than an adequate weapon."
	*ITEMNAME_WEAPON_HAMMER_WAR "War Hammer"
	*ITEMDESC_WEAPON_HAMMER_WAR "Simple but heavy, this weapon can deliver decent damage at the cost of speed."
	*ITEMNAME_WEAPON_HAMMER_LIGHT "War Hammer"
	*ITEMDESC_WEAPON_HAMMER_LIGHT "Simple but heavy, this weapon can deliver decent damage at the cost of speed."
	*ITEMNAME_WEAPON_HAMMER_MORNINGSTAR "MorningStar"
	*ITEMDESC_WEAPON_HAMMER_MORNINGSTAR "Big and made entirely of steel, the Morningstar is a formidable weapon."
	*ITEMNAME_WEAPON_HAMMER_SHADOWSTAR "ShadowStar"
	*ITEMDESC_WEAPON_HAMMER_SHADOWSTAR "Heavy and sinister, this is a very formidable crushing weapon."
	*ITEMNAME_WEAPON_HAMMER_HEAVYCLUB "Heavy Club"
	*ITEMDESC_WEAPON_HAMMER_HEAVYCLUB "Do not let the crudeness fool you. This club can deliver brutal damage."
	*ITEMNAME_WEAPON_HAMMER_MACE "Mace"
	*ITEMDESC_WEAPON_HAMMER_MACE "Balanced and a bit lighter than its hammer brothers, the Mace is easy to swing."
	*ITEMNAME_WEAPON_HAMMER_ANCIENT "Ancient Pike"
	*ITEMDESC_WEAPON_HAMMER_ANCIENT "Crafted by the smiths of Meckelon, this is a formidable crushing weapon."
	*ITEMNAME_WEAPON_HAMMER_MAUL "Maul"
	*ITEMDESC_WEAPON_HAMMER_MAUL "During a siege, Squires to Celenheim Knights created these weapons."
	*ITEMNAME_WEAPON_HAMMER_BATTLE "Battle Hammer"
	*ITEMDESC_WEAPON_HAMMER_BATTLE "Heavy and balanced, this is a popular weapon among melee fighters."
	*ITEMNAME_WEAPON_HAMMER_CHAOS "Chaos Hammer"
	*ITEMDESC_WEAPON_HAMMER_CHAOS "A true bringer of chaos. Albeit slow, it can flatten an enemy on a single strike."
	*ITEMNAME_WEAPON_HAMMER_HEAVYMORNINGSTAR "Heavy Morningstar"
	*ITEMDESC_WEAPON_HAMMER_HEAVYMORNINGSTAR "Much like its smaller kindred, but heavier and more powerful."
	*ITEMNAME_WEAPON_HAMMER_MAGIC "Hammer of the Sky"
	*ITEMDESC_WEAPON_HAMMER_MAGIC "A vastly powerful hammer, which calls upon the power of the sky when wielded."
	*ITEMNAME_WEAPON_BOW_SHORT "ShortBow"
	*ITEMDESC_WEAPON_BOW_SHORT "A fast bow with limited range and damage."
	*ITEMNAME_WEAPON_BOW_LONG "Composite Bow"
	*ITEMDESC_WEAPON_BOW_LONG "A bit slower than the short bow, but delivers more damage and better accuracy."
	*ITEMNAME_WEAPON_BOW_BURST "Elven HighBow"
	*ITEMDESC_WEAPON_BOW_BURST "With this Elven craftmanship weapon, showers of arrows can be fired."
	*ITEMNAME_WEAPON_BOW_SNIPER "Precision Bow"
	*ITEMDESC_WEAPON_BOW_SNIPER "The marksmans best friend, this bow can fire accurately at considerable ranges."
	*ITEMNAME_WEAPON_BOW_MAGIC "Etheral Bow"
	*ITEMDESC_WEAPON_BOW_MAGIC "Made by the Elves of Celenheim, this bow is one of the finest ever made."
	*ITEMNAME_WEAPON_CROSSBOW_LIGHT "Light Crossbow"
	*ITEMDESC_WEAPON_CROSSBOW_LIGHT "A light and manageable crossbow, but with limited damage."
	*ITEMNAME_WEAPON_CROSSBOW_DWARVEN "Dwarven Crossbow"
	*ITEMDESC_WEAPON_CROSSBOW_DWARVEN "Strong and reliable, with a decent damage output."
	*ITEMNAME_WEAPON_CROSSBOW_HEAVY "Heavy Crossbow"
	*ITEMDESC_WEAPON_CROSSBOW_HEAVY "With its strong spring mechanism, it can deliver considerable damage."
	*ITEMNAME_WEAPON_CROSSBOW_REPEATING "Repeating Crossbow"
	*ITEMDESC_WEAPON_CROSSBOW_REPEATING "The peak of gnome creativity, this crowssbow can fire rapid bursts of bolts."
	*ITEMNAME_WEAPON_CROSSBOW_MAGIC "The Redeemer"
	*ITEMDESC_WEAPON_CROSSBOW_MAGIC "A magically crafted and enchanced crossbow, this weapon is rare."
	*ITEMNAME_WEAPON_STAFF_FIRE "The Incinerator"
	*ITEMDESC_WEAPON_STAFF_FIRE "This staff gives the wielder power to call upon the powers of heat, fire and chaos."
	*ITEMNAME_WEAPON_STAFF_COLD "Midwinter Frost"
	*ITEMDESC_WEAPON_STAFF_COLD "The wielder of this staff gains control of cold fire."
	*ITEMNAME_WEAPON_STAFF_LIGHTNING "Staff of Storms"
	*ITEMDESC_WEAPON_STAFF_LIGHTNING "With this staff, the controller may wield the powers of the skies."
	*ITEMNAME_WEAPON_STAFF_POISON "Tears of Corrosion"
	*ITEMDESC_WEAPON_STAFF_POISON "The bringer of plague, corrosion and searing flesh, this is the Staff of Poison."
	*ITEMNAME_WEAPON_STAFF_MIND "Psionic Domination"
	*ITEMDESC_WEAPON_STAFF_MIND "With this staff, the wielder can defeat the foes with the powers of the mind."
	*ITEMNAME_WEAPON_STAFF_DARKNESS "Darkness of Despair"
	*ITEMDESC_WEAPON_STAFF_DARKNESS "True caller upon horror and the macabre, wielder of the darkness and shadows."
	*ITEMNAME_WEAPON_STAFF_SPIRIT "Astral Staff"
	*ITEMDESC_WEAPON_STAFF_SPIRIT "This staff gives the controller power over the creatures of nature."
	*ITEMNAME_WEAPON_STAFF_DOOM "Staff of the Damned"
	*ITEMDESC_WEAPON_STAFF_DOOM "This is a weapon of death, calling upon the spirits of the Underworld."
	*ITEMNAME_WEAPON_STAFF_FIRE2 "The Incinerator"
	*ITEMDESC_WEAPON_STAFF_FIRE2 "This staff gives the wielder power to call upon the powers of heat, fire and chaos."
	*ITEMNAME_WEAPON_STAFF_COLD2 "Midwinter Frost"
	*ITEMDESC_WEAPON_STAFF_COLD2 "The wielder of this staff gains control of cold fire."
	*ITEMNAME_WEAPON_STAFF_LIGHTNING2 "Staff of Storms"
	*ITEMDESC_WEAPON_STAFF_LIGHTNING2 "With this staff, the controller may wield the powers of the skies."
	*ITEMNAME_WEAPON_STAFF_POISON2 "Tears of Corrosion"
	*ITEMDESC_WEAPON_STAFF_POISON2 "The bringer of plague, corrosion and searing flesh, this is the Staff of Poison."
	*ITEMNAME_WEAPON_STAFF_MIND2 "Psionic Domination"
	*ITEMDESC_WEAPON_STAFF_MIND2 "With this staff, the wielder can defeat the foes with the powers of the mind."
	*ITEMNAME_WEAPON_STAFF_DARKNESS2 "Darkness of Despair"
	*ITEMDESC_WEAPON_STAFF_DaRKNESS2 "True caller upon horror and the macabre, wielder of the darkness and shadows."
	*ITEMNAME_WEAPON_STAFF_SPIRIT2 "Astral Staff"
	*ITEMDESC_WEAPON_STAFF_SPIRIT2 "This staff gives the controller power over the creatures of nature."
	*ITEMNAME_WEAPON_STAFF_DOOM2 "Staff of the Damned"
	*ITEMDESC_WEAPON_STAFF_DOOM2 "This is a weapon of death, calling upon the spirits of the Underworld."
	*ITEMNAME_WEAPON_STAFF_ASSEMBLY "Assembly Staff"
	*ITEMDESC_WEAPON_STAFF_ASSEMBLY "Mysterious Staff of the Assembly of Six."
	*ITEMNAME_WEAPON_STAFF_MORDESSA "Mordessa Staff"
	*ITEMDESC_WEAPON_STAFF_MORDESSA "Mordessa's Staff of Destruction."
	*ITEMNAME_WEAPON_STAFF_EARTHSPIRIT "The Staff of the Earth Spirit"
	*ITEMDESC_WEAPON_STAFF_EARTHSPIRIT "Zale's Staff of the Earth Spirit, destructor of the world."
	*ITEMNAME_ITEM_SHIELD_TARGA "Wood Targa"
	*ITEMDESC_ITEM_SHIELD_TARGA "Made entirely out of wood, this is a very light shield."
	*ITEMNAME_ITEM_SHIELD_BUCKLER "Buckler"
	*ITEMDESC_ITEM_SHIELD_BUCKLER "A small, round metal shield. Its small size offers limited protection."
	*ITEMNAME_ITEM_SHIELD_SPIKED "Spiked Shield"
	*ITEMDESC_ITEM_SHIELD_SPIKED "A large wooden shield protected and reinforced by vicious spikes."
	*ITEMNAME_ITEM_SHIELD_BRUTE "Brute Shield"
	*ITEMDESC_ITEM_SHIELD_BRUTE "Wooden shield with enforced metal frames."
	*ITEMNAME_ITEM_SHIELD_ROUND "Round Shield"
	*ITEMDESC_ITEM_SHIELD_ROUND "This large, heavy metal shield offers good protection to its wielder."
	*ITEMNAME_ITEM_SHIELD_KITE "Kite Shield"
	*ITEMDESC_ITEM_SHIELD_KITE "Triangulary shaped and crafted in metal, Often favoured by knights."
	*ITEMNAME_ITEM_SHIELD_ASSEMBLY "Assembly Shield"
	*ITEMDESC_ITEM_SHIELD_ASSEMBLY "This is a shield crafted for Celenheim's Elite Guards."
	*ITEMNAME_ITEM_SHIELD_CHAOS "Chaos Shield"
	*ITEMDESC_ITEM_SHIELD_CHAOS "A magically enhanced shield."
	*ITEMNAME_ITEM_SHIELD_BLADE "Blade Shield"
	*ITEMDESC_ITEM_SHIELD_BLADE "This shield offers additional protection by protruding blades."
	*ITEMNAME_ITEM_SHIELD_THORN "Thorn Shield"
	*ITEMDESC_ITEM_SHIELD_THORN "This brutishly shaped shield is a powerful protector to its user."
	*ITEMNAME_ITEM_SHIELD_ANCIENT "Ancient Scutum"
	*ITEMDESC_ITEM_SHIELD_ANCIENT "Almost man-high and made out of metal, very formidable."
	*ITEMNAME_ITEM_SHIELD_MAGIC "Enchanted Shield"
	*ITEMDESC_ITEM_SHIELD_MAGIC "Forged with magical steel and inscripted with runes."
	*ITEMNAME_ITEM_BOLT_NORMAL "§p0 Bolts"
	*ITEMDESC_ITEM_BOLT_NORMAL "Normal crossbow bolts."
	*ITEMNAME_ITEM_BOLT_POISON "§p0 Poison Bolts"
	*ITEMDESC_ITEM_BOLT_POISON "Poison tipped crossbow bolts."
	*ITEMNAME_ITEM_BOLT_MAGIC "§p0 Magic Bolts"
	*ITEMDESC_ITEM_BOLT_MAGIC "Magically enhanced crossbow bolts. These have increased damage."
	*ITEMNAME_ITEM_ARROW_BURST "§p0 Burst Arrows"
	*ITEMDESC_ITEM_ARROW_BURST "Can be tiled on a bowstring and deliver a shower of arrows."
	*ITEMNAME_ITEM_ARROW_FIRE "§p0 Fire Arrows"
	*ITEMDESC_ITEM_ARROW_FIRE "These arrows will burst into fire upon impact."
// PC PORT: Translate: (New keys)	
	*ITEMNAME_ITEM_ARROW_LAFIRE "§p0 Flame Arrows"
	*ITEMDESC_ITEM_ARROW_LAFIRE "Larger arrows that will burst into fire upon impact."
// PC PORT: END: Translate	
	*ITEMNAME_ITEM_ARROW_GRENADE "§p0 Grenade Arrows"
	*ITEMDESC_ITEM_ARROW_GRENADE "Invented by Goblin Alchemists, these arrows will explode upon impact."
	*ITEMNAME_ITEM_ARROW_HEGRENADE "§p0 Bomb Arrows"
	*ITEMDESC_ITEM_ARROW_HEGRENADE "Highly explosive, no more no less."
	*ITEMNAME_ITEM_ARROW_SNIPER "§p0 Sniper Arrows"
	*ITEMDESC_ITEM_ARROW_SNIPER "Extra long arrows made by a master fletcher."
	*ITEMNAME_ITEM_ARROW_MAGIC "§p0 Magic Arrows"
	*ITEMDESC_ITEM_ARROW_MAGIC "Magical precision arrows. These have increased damage."
	*ITEMNAME_ARMOUR_LEVEL0 "No Armour"
	*ITEMDESC_ARMOUR_LEVEL0 "You are mostly unprotected."
	*ITEMNAME_ARMOUR_LEVEL1 "Light Armour"
	*ITEMDESC_ARMOUR_LEVEL1 "This armour offers limited protection."
	*ITEMNAME_ARMOUR_LEVEL2 "Medium Armour"
	*ITEMDESC_ARMOUR_LEVEL2 "This armour offers good protection."
	*ITEMNAME_ARMOUR_LEVEL3 "Heavy Armour"
	*ITEMDESC_ARMOUR_LEVEL3 "This is the strongest armour available."
	*ITEMNAME_ITEM_POTION_HEALTH "§p0 Health Potions"
	*ITEMDESC_ITEM_POTION_HEALTH "Gives the user renewed vitality by healing wounds received in combat. "
	*ITEMNAME_WEAPON_BOMB "§p0 Bombs"
	*ITEMDESC_WEAPON_BOMB "A throwing bomb that explodes a few seconds after ignition. Use against clusters of enemies."
	*ITEMNAME_WEAPON_HEBOMB "§p0 Heavy Bombs"
	*ITEMDESC_WEAPON_HEBOMB "A heavy throwing bomb that explodes a few seconds after ignition. Use against clusters of enemies."
	*ITEMNAME_WEAPON_FIREBOTTLE "§p0 Grease Bombs"
	*ITEMDESC_WEAPON_FIREBOTTLE "Invented by Goblin Alchemists, this bomb is a bottle filled with an inflammable fluid."
	*ITEMNAME_WEAPON_HEFIREBOTTLE "§p0 HE Grease Bombs"
	*ITEMDESC_WEAPON_HEFIREBOTTLE "Heavy Grease Bomb, larger fires and more damage."

	//-- Fix Queen Staff --//
	*ITEMNAME_WEAPON_STAFF_QUEEN "Queen Staff"
	*ITEMDESC_WEAPON_STAFF_QUEEN "The Royal Scepter of Celenheim."
	//-- Fix Potion Vine --//
	*ITEMNAME_ITEM_POTION_VINE "§p0 Health Vine"
	*ITEMDESC_ITEM_POTION_VINE "The wine of Celenheim, soothing and healthy."

	// Game - Scoreboard
	*SCORE_DM			"Deathmatch"
	*SCORE_TDM			"Team Battle"

	*SCORE_SCORE			"Score"
	*SCORE_TEAMSCORE		"Team score"
	*SCORE_PING			"Ping"
	*SCORE_PL			"PL"
	*SCORE_NAME			"Name"
	*SCORE_CONNECTING		"Connecting"
	*SCORE_KILLS			"Kills"
	*SCORE_DEATHS			"Deaths"

	// Game  - Team rules
	*GAME_ROUNDEND_TIMEOUT0	"Enemy team has not accomplished it's objective in time."
	*GAME_ROUNDEND_TIMEOUT1	"Objective not accomplished within time limit."
	*GAME_ROUNDEND_KILLCHAR0	"§p0 has been assassinated."
	*GAME_ROUNDEND_KILLCHAR1	"§p0 has been assassinated."
	*GAME_ROUNDEND_KILLCHAR2	"Enemy has been assassinated."
	*GAME_ROUNDEND_KILLCHAR3	"Enemy has been assassinated."
	*GAME_ROUNDEND_EXIT0		"Your team have reached an escape zone."
	*GAME_ROUNDEND_EXIT1		"The enemy team have reached an escape zone."
	*GAME_ROUNDEND_EXITCHAR0	"§p0 have reached an escape zone."
	*GAME_ROUNDEND_EXITCHAR1	"§p0 have reached an escape zone."
	*GAME_ROUNDEND_WIPEOUT0	"You have eliminated the enemy team."
	*GAME_ROUNDEND_WIPEOUT1	"Your team has been eliminated."
	*GAME_ROUNDEND_WIPEOUT2	"Your team has been eliminated."
	*GAME_ROUNDEND_VICTORY	"Victory!"
	*GAME_ROUNDEND_DEFEAT		"Defeat!"
	*GAME_TK0			"§p0 scores for the other team."
	*GAME_TK1			"§p0 slayed a team-mate."

	// Game - Survival
	*GAME_SV_DEFEAT		"Defeat!"
	*GAME_SV_VICTORY		"Victory!"
	*GAME_SV_ROUNDEND0		"You were slain by §p0, but you survived §p1 enemies!"
	*GAME_SV_ROUNDEND1		"You were slain, but you survived §p0 enemies!"
	*GAME_SV_ROUNDEND1_SING	"You were slain, but you survived 1 enemy!"
	*GAME_SV_ROUNDEND2		"You have slain all of the §p0 enemies!"
	*GAME_SV_ROUNDEND2_SING	"You have slain the enemy!"

	// Game - Campaign
	*GAME_CAMP_SV_ROUNDEND0			"You were slain by §p0"
	*GAME_CAMP_SV_ROUNDEND1			"but you survived §p0 enemies."
	*GAME_CAMP_SV_ROUNDEND2			"You have slain all of the §p0 enemies!"
	*GAME_CAMP_MISSIONCOMPLETE		"Mission completed"
	*GAME_CAMP_MISSIONFAIL			"Mission failed"
	*GAME_CAMP_CONGRATS			"Congratulations!"
	*GAME_CAMP_AWARDPOOLGOLD 		"§p0 new gold pieces have been added"
	*GAME_CAMP_AWARDITEM 			"You have found a new item worth §p0 gold"
	*GAME_CAMP_AWARDGOLD			"You have found §p0 of §p1 gold pieces"
	*GAME_CAMP_AWARDGOLD2			"You have found §p0 of §p1 gold pieces||Previously, you found §p2 gold pieces on this map"
	*GAME_CAMP_AWARDMISSION			"You have been awarded a new mission"
	*GAME_CAMP_AWARDCHARACTER 		"You have been awarded a new character"
	*GAME_CAMP_AWARDMISSIONGOLD		"You have been awarded §p0 gold pieces"
	*GAME_CAMP_MISSIONLOC			"Location: §p0"
	*GAME_CAMP_MISSIONNAME			"Name: §p0"
	*GAME_CAMP_NOPOOLGOLD 			"No more gold has been added"
	*GAME_CAMP_DIED 			"You were killed"
	*GAME_CAMP_FLED 			"You have fled"
	*GAME_CAMP_QUIT 			"You quit"
	*GAME_CAMP_UNLOCKDARK			"By defeating Vatar, you have unlocked the Dark Campaign! It can now be selected in the New Game menu.||Now you can experience the tale of the Dreg'atar from another perspective. But beware, it won't be as easy this time..."
	*GAME_CAMP_UNLOCKDARK2			"You have unlocked the Dark Campaign! It can now be selected in the New Game menu."
	*GAME_CAMP_UNLOCKDARK3			"Direct Access Key: imevil||Unlocks the Dark Campaign in the Campaign Selection Screen anywhere, anytime!"
	*GAME_CAMP_MARCUSDEAD			"Marcus was killed"
	*GAME_CAMP_ZALEDEAD			"Zale was killed"
	*GAME_CAMP_IELLONDEAD1			"Your companion was killed"
	*GAME_CAMP_IELLONDEAD2			"Your companions were killed"
	*GAME_CAMP_FRENZY			"§p0 enemies killed"
	*GAME_CAMP_FRENZY_S			"§p0 enemy killed"
	*GAME_CAMP_SV_ROUNDEND1_S		"but you survived §p0 enemy."
	*GAME_CAMP_FLEEZONE			"Leaving mission in §p0 seconds."

	// Locations
	*LOCATION_IELLON			"Iellon Outpost"
	*LOCATION_IELLON2			"Iellon Outpost"
	*LOCATION_CELADIA			"Celadia Village"
	*LOCATION_DESERTEDTEMPLE		"Deserted Temple"
	*LOCATION_DIVIDEDCITY			"The Divided City"
	*LOCATION_WASTES			"The Outland Wastes"
	*LOCATION_ARKAMAR			"Harbour of Ark Amar"
	*LOCATION_ANCESTORS			"Meckelon"
	*LOCATION_SANCTUARY			"The Sanctuary"
	*LOCATION_UNDERWORLD			"The Underworld"
	*LOCATION_UNDERWORLD2			"The Underworld II"
	*LOCATION_KAMZARA			"Kam-Zara Highpass"
	*LOCATION_ARKMOOR			"Ark Moor"
	*LOCATION_VATAR				"Vatar"

	*LOCATION_ZURANA			"Zurana's Hideout"
	*LOCATION_MANSION			"The Mansion of Dreams"
	*LOCATION_GUARDIAN			"The Guardian"
	*LOCATION_MANSION2			"The Mansion of Dreams II"
	*LOCATION_WILDERNESS			"Aylewoods"
	*LOCATION_WILDERNESS2			"Wilderness II"
	*LOCATION_GREATWALL			"The Great Wall"
	*LOCATION_MINES				"The Mines of Ungard"
	*LOCATION_URANNON			"Ur Annon Island"
	*LOCATION_CELENHEIM			"Castle Celenheim"

	*LOCATION_FORBIDDENATGARD		"Forbidden Atgard"
	*LOCATION_NAGLAGARD			"Naglagard"
	*LOCATION_TOLVFORS			"Tolvfors"
	*LOCATION_HIGHVALLEY			"Highvalley"
	*LOCATION_HAGASTROM			"Hagastrom"
	*LOCATION_LEXE				"Lexe"

	// Challenges
	*CHALLENGE_L_M1			"1 Imprisoned"
	*BRIEFING_L_M1			"Iellon Dungeon||You have attempted to protect kinsmen in your village against tax collectors. Just being thrown into prison for these rebellious crimes against Celenheim, you awaken from unconciousness."
	*STORY_L_M1			"Imprisoned||You must find a way out of the cell.||Obtain a weapon.|Defeat the enemies.||Escape the dungeon."
	*AWARD_GOLD_L_M1		"For your success in escaping the dungeon, you received a handsome reward."

	*CHALLENGE_L_M2			"2 Protect the Outpost"
	*BRIEFING_L_M2			"Iellon Outpost||After fighting your way up to the surface, you face a threat far worse than imprisonment. The Outpost is under attack, and you are rallied to fight side by side with your captors against the invaders."
	*STORY_L_M2			"Protect the Outpost||Defeat the outlanders.  |Defeat Bor'je."
	*AWARD_GOLD_L_M2		"For your bravery in saving the Outpost, you received a handsome reward."
	
// PC PORT: Translate: (New keys)
	*CHALLENGE_L_M2_DEMO		"2 Protect the Outpost"
	*BRIEFING_L_M2_DEMO		"Iellon Outpost||After fighting your way up to the surface, you face a threat far worse than imprisonment. The Outpost is under attack, and you are rallied to fight side by side with your captors against the invaders."
	*STORY_L_M2_DEMO		"Protect the Outpost||Defeat the outlanders.  |Defeat Bor'je."
	*AWARD_GOLD_L_M2_DEMO		"For your bravery in saving the Outpost, you received a handsome reward."
// PC PORT: END: Translate

	*CHALLENGE_L_M3			"3 Escort Marcus"
	*BRIEFING_L_M3			"Celadia Village||At Queen Aylindel's request, you have been sent to Celadia village to help Merchant Marcus. Dreg'atar raiders have plundered his caravan, stolen his treasury and account book. "
	*STORY_L_M3			"Escort Marcus   |Escort Marcus through the village, and help him gather his things.||The account book. |A key to the town gate.||Marcus must survive."
	*AWARD_GOLD_L_M3		"For protecting Merchant Marcus, you received a handsome reward."

	*CHALLENGE_L_M4			"4 Deserted Temple"
	*BRIEFING_L_M4			"A long lost temple||The Dreg'atar raiders have taken refuge with Marcus' treasure in a deserted temple not far from Celadia village. You must find a way to enter the temple and obtain the treasure."
