//All new/added keys can be found within these lines
// PC PORT: Translate: (New keys)
// PC PORT: END: Translate

//All modified/altered keys can be found within these lines
// PC PORT: Translate: (Old key, new value)
// PC PORT: END: Translate

*game_german
{
		*MENU_CONTENTLOADFAILED		"'§p0' laden nicht möglich."
	*CHARDESC_ASSASSIN		"Die Assassinen verlassen sich auf Zielgenauigkeit und Schnelligkeit."
	*CHAR_SORCERESS			"Zauberin"
	*CHARDESC_SORCERESS		"Die Zauberinnen sind mächtige Beschwörer von zerstörerischer Magie."
	*CHAR_LICH			"Lich"
	*CHARDESC_LICH			"Die Lich ist eine Königin der Untoten und benutzt geheim- nisvolle, schwarze Magie."
	*CHAR_BOMBARDIER		"Bombardier"
	*CHARDESC_BOMBARDIER		"Die Bombardiere sind kraft- volle Krieger. Granaten und Fallen sind ihre Spezialität."
	*CHAR_WOLFRIDER			"Goblin"
	*CHARDESC_WOLFRIDER		"Die unbändige Wildheit der Goblins gleicht ihre geringe Grösse problemlos aus."
	*CHAR_GOLEM			"Erdgolem"
	*CHARDESC_GOLEM			"Eine magische Kreatur von elementarer Gewalt."
	*CHAR_9320			"9320 Kampfdroid"
	*CHARDESC_9320			"Der 9320 Kampfdroid aus Enclave Classic. Viel Spass mit ihm!"
	*CHAR_STONEGNOME		"Steingnom"
	*CHARDESC_STONEGNOME		"Dieser Gnom, aus Lava geboren, ist zwar klein aber steinstark!"
	*CHAR_FETICIA			"Feticia"
	*CHARDESC_FETICIA		"Hier ist sie: Feticia aus Enclave Classic. Viel Spass mit ihr!"

	//-- New Characters start --//
	*CHAR_ANCESTOR			"Ahnenkrieger"
	*CHARDESC_ANCESTOR		"Die Krieger der alten Ahnen sind stark und werden für ihre Tapferkeit im Kampf gefürchtet"
	*CHAR_MARCUS			"Marcus"
	*CHARDESC_MARCUS		"Der berühmte Kaufmann von Celenheim"
	*CHAR_LORUS				"Kapitän Lorus"
	*CHARDESC_LORUS			"Ein bekannter und erfahrener Seefahrer"
	*CHAR_JASINDRA			"Prinzessin Jasindra"
	*CHARDESC_JASINDRA		"Die Erbin von Celenheim, Tochter von Königin Ayndirel"
	*CHAR_AYNDIREL			"Königin Ayndirel"
	*CHARDESC_AYNDIREL		"Der regierende Herrscherin von Celenheim"
	*CHAR_ZALE				"Zale"
	*CHARDESC_ZALE			"Der sagenumwobene Schöpfer der Kluft zwischen Celenheim und den Outlands"
	*CHAR_MORDESSA			"Mordessa"
	*CHARDESC_MORDESSA		"Die mächtige und grausame Anführerin der Dreg'atar"
	*CHAR_MORDESSA_GOOD		"Mordessa"
	*CHARDESC_MORDESSA_GOOD	"Die mächtige und grausame Anführerin der Dreg'atar"
	*CHAR_ASSEMBLY			"Versammlungswache"
	*CHARDESC_ASSEMBLY		"Die Wächter sind Mitglieder des Kreises der Sechs um Königin Ayndirel."
	*CHAR_SKELETON			"Skelettkrieger"
	*CHARDESC_SKELETON		"Die niedrigste und schwächste Kreatur der Dreg'atar"
	*CHAR_SCAARA			"Scaara"
	*CHARDESC_SCAARA		"Eine seltsame Frosch-Mensch-Kreatur"
	//-- New Characters end --//

	// Items
	*ITEMNAME_WEAPON_DAGGER_SHORT "Einfacher Dolch"
	*ITEMDESC_WEAPON_DAGGER_SHORT "Die Standard-Stichwaffe. Dient oftmals als Retter in äusserster Not."
	*ITEMNAME_WEAPON_DAGGER_LONG "Langdolch"
	*ITEMDESC_WEAPON_DAGGER_LONG "Eine einfache, schnelle Waffe. Mit Geschick geführt, kann sie nützlich sein."
	*ITEMNAME_WEAPON_DAGGER_CURVED "Krummdolch"
	*ITEMDESC_WEAPON_DAGGER_CURVED "Mit seiner geschwungenen Klinge kann der Krummdolch tiefe Wunden schlagen."
	*ITEMNAME_WEAPON_DAGGER_ANCIENT "Ahnendolch"
	*ITEMDESC_WEAPON_DAGGER_ANCIENT "Dies ist ein fein gearbeiteter Dolch aus den besten Schmieden Meckelons."
	*ITEMNAME_WEAPON_DAGGER_SACRIFICE "Zeremoniendolch"
	*ITEMDESC_WEAPON_DAGGER_SACRIFICE "Lass dich von den Verzie- rungen nicht täuschen. Dies ist eine scharfe Waffe."
	*ITEMNAME_WEAPON_DAGGER_POISON "Giftdolch"
	*ITEMDESC_WEAPON_DAGGER_POISON "Mit etwas Gift versehen, ist dies das Werkzeug eines wahren Assassinen. "
	*ITEMNAME_WEAPON_SWORD_SHORT "Kurzschwert"
	*ITEMDESC_WEAPON_SWORD_SHORT "Eine einfache Klingenwaffe, die einigen Schaden verursachen kann."
	*ITEMNAME_WEAPON_SWORD_LIGHTSHORT "Schwert"
	*ITEMDESC_WEAPON_SWORD_LIGHTSHORT "Eine derbe Schwertwaffe. Leicht zu handhaben, effektiv in der Wirkung."
	*ITEMNAME_WEAPON_SWORD_SHORTANCIENT "Kurzschwert der Ahnen"
	*ITEMDESC_WEAPON_SWORD_SHORTANCIENT "Die Klinge des gewöhnlichen Fusssoldaten aus Meckelon. Schnell und verlässlich."
	*ITEMNAME_WEAPON_SWORD_BROAD "Breitschwert"
	*ITEMDESC_WEAPON_SWORD_BROAD "Seine kurze Klinge macht es zu einer zuverlässigen Waffe im Nahkampf."
	*ITEMNAME_WEAPON_SWORD_LONG "Langschwert"
	*ITEMDESC_WEAPON_SWORD_LONG "Eine gut ausbalancierte Klinge, für den erfahrenen Nahkämpfer ein gute Wahl."
	*ITEMNAME_WEAPON_SWORD_SCIMITAR "Krummsäbel"
	*ITEMDESC_WEAPON_SWORD_SCIMITAR "Mit seiner geschwungenen Klinge kann der Krummsäbel tiefe Wunden schlagen."
	*ITEMNAME_WEAPON_SWORD_ANCIENT "Ahnenschwert"
	*ITEMDESC_WEAPON_SWORD_ANCIENT "Eine gut gearbeitete Waffe, die von den erfahrenderen Kriegern Meckelons benutzt wird."
	*ITEMNAME_WEAPON_SWORD_DWARVEN "Zwergenschwert"
	*ITEMDESC_WEAPON_SWORD_DWARVEN "Bevor die Kluft entstand wurde diese Klinge in den tiefen Ungards geschmiedet."
	*ITEMNAME_WEAPON_SWORD_SABRE "Runenklinge"
	*ITEMDESC_WEAPON_SWORD_SABRE "Jede Runenklinge ist ein Meisterwerk der Schmiede- kunst. Scharf und tödlich."
	*ITEMNAME_WEAPON_SWORD_FALCHION "Krummschwert"
	*ITEMDESC_WEAPON_SWORD_FALCHION "Legenden zufolge wurden diese Waffen einst in der Unterwelt geschmiedet."
	*ITEMNAME_WEAPON_SWORD_BASTARD "Bastardschwert"
	*ITEMDESC_WEAPON_SWORD_BASTARD "Mit seiner furchtbaren Klinge kann diese Waffe Gegner-  scharen niedermähen."
	*ITEMNAME_WEAPON_SWORD_WARRIOR "Ehricks Fluch"
	*ITEMDESC_WEAPON_SWORD_WARRIOR "Das legendäre Schwert des sagenumwobenen Helden Ehrick von Celenheim."
	*ITEMNAME_WEAPON_SWORD_FIRE "Feuerklinge"
	*ITEMDESC_WEAPON_SWORD_FIRE "Mit magischem Feuer verzau- bert, brennt sie sich selbst durch stärkste Rüstungen."
	*ITEMNAME_WEAPON_SWORD_MORDESSA "Mordessas Schwert"
	*ITEMDESC_WEAPON_SWORD_MORDESSA "Diese Waffe hast Du Mordessa abgenommen. Eine magische Waffe aus der Unterwelt."
	*ITEMNAME_WEAPON_SWORD_ASSEMBLY "Versammlungsschwert"
	*ITEMDESC_WEAPON_SWORD_ASSEMBLY "Geschmiedet für Celenheims Elitewache."
	*ITEMNAME_WEAPON_SWORD_FROST "Eisschwert"
	*ITEMDESC_WEAPON_SWORD_FROST " Die Kälte kann grausamer brennen, als die heisseste Flamme "
	*ITEMNAME_WEAPON_SWORD_FROST2 "Eisschwert"
	*ITEMDESC_WEAPON_SWORD_FROST2 "Die Kälte kann grausamer brennen, als die heisseste Flamme."
	*ITEMNAME_WEAPON_AXE_BEARDED "Einfache Axt"
	*ITEMDESC_WEAPON_AXE_BEARDED "Eine derbe Axt, kaum mehr als ein Werkzeug."
	*ITEMNAME_WEAPON_AXE_KAMA "Kama"
	*ITEMDESC_WEAPON_AXE_KAMA "Nützlich, allerdings schwer zu führen."
	*ITEMNAME_WEAPON_AXE_SHORT "Zwillingsaxt"
	*ITEMDESC_WEAPON_AXE_SHORT "Eine leichte und ausbalan-  cierte Axt. Einfache Handhabung, mässiger Schaden."
	*ITEMNAME_WEAPON_AXE_BRUTE "Monsteraxt"
	*ITEMDESC_WEAPON_AXE_BRUTE "Die Monsteraxt ist aufgrund ihrer sehr guten Balance eine vortreffliche Wahl."
	*ITEMNAME_WEAPON_AXE_PIKE "Zwergenaxt"
	*ITEMDESC_WEAPON_AXE_PIKE "Diese von Zwergen geschmiedete Axt vernichtet Gegner mit Leichtigkeit."
	*ITEMNAME_WEAPON_AXE_POLEARM "Stange"
	*ITEMDESC_WEAPON_AXE_POLEARM "Diese Waffe ist lang und schwer und kann grossen Schaden verursachen."
	*ITEMNAME_WEAPON_AXE_TRIDENT "Dreizack"
	*ITEMDESC_WEAPON_AXE_TRIDENT "Mit ihren drei Spitzen kann diese Waffe schweren Schaden anrichten."
	*ITEMNAME_WEAPON_AXE_BATTLE "Streitaxt"
	*ITEMDESC_WEAPON_AXE_BATTLE "Wuchtig und aus feinstem Stahl geschmiedet, ist diese Waffe sehr furchteinflössend."
	*ITEMNAME_WEAPON_AXE_WAR "Kriegsaxt"
	*ITEMDESC_WEAPON_AXE_WAR "Der Traum eines jeden Berser-  kers. Damit lassen sich selbst mächtige Feinde besiegen."
	*ITEMNAME_WEAPON_AXE_SHATTER "Schmetteraxt"
	*ITEMDESC_WEAPON_AXE_SHATTER "Ein gewaltiges Kriegswerk- zeug von gigantischen Ausmassen."
	*ITEMNAME_WEAPON_AXE_GREAT "Grossaxt"
	*ITEMDESC_WEAPON_AXE_GREAT "Wenn Du einmal das Innen- leben feindlicher Rüstungen erforschen willst"
	*ITEMNAME_WEAPON_AXE_MAGIC "Axt der Angst"
	*ITEMDESC_WEAPON_AXE_MAGIC "Eine Waffe für wahre Helden, deren Klinge magisch veredelt wurde."
	*ITEMNAME_WEAPON_HAMMER_SPIKED "Dornenkeule"
	*ITEMDESC_WEAPON_HAMMER_SPIKED "Eine einfache Holzkeule, die mit scharfen Dornen besetzt ist."
	*ITEMNAME_WEAPON_HAMMER_WAR "Kriegshammer"
	*ITEMDESC_WEAPON_HAMMER_WAR "Ein wuchtiger Hammer, der seine Langsamkeit durch grossen Schaden ausgleicht."
	*ITEMNAME_WEAPON_HAMMER_LIGHT "Kriegshammer"
	*ITEMDESC_WEAPON_HAMMER_LIGHT "Ein wuchtiger Hammer, der seine Langsamkeit durch grossen Schaden ausgleicht."
	*ITEMNAME_WEAPON_HAMMER_MORNINGSTAR "Morgenstern"
	*ITEMDESC_WEAPON_HAMMER_MORNINGSTAR "Gross und gänzlich aus Stahl geschmiedet. Eine ausbalan- cierte und gewaltige Waffe."
	*ITEMNAME_WEAPON_HAMMER_SHADOWSTAR "Schattenstern"
	*ITEMDESC_WEAPON_HAMMER_SHADOWSTAR "Schwer und böse - dies ist eine hervorragende Waffe zum Zerschmettern von allem."
	*ITEMNAME_WEAPON_HAMMER_HEAVYCLUB "Schwere Keule"
	*ITEMDESC_WEAPON_HAMMER_HEAVYCLUB "Ein schwerer und primitiver Hammer, der gewaltigen Schaden verursachen kann."
	*ITEMNAME_WEAPON_HAMMER_MACE "Eiserne Keule"
	*ITEMDESC_WEAPON_HAMMER_MACE "Wegen ihrer geschmiedeten Spitze ist diese Keule scharf, schnell und gefährlich."
	*ITEMNAME_WEAPON_HAMMER_ANCIENT "Ahnenpike"
	*ITEMDESC_WEAPON_HAMMER_ANCIENT "Dies ist eine hervorragende Schlagwaffe, die von den Schmieden Meckelons hergestellt wurde."
	*ITEMNAME_WEAPON_HAMMER_MAUL "Schwerer Hammer"
	*ITEMDESC_WEAPON_HAMMER_MAUL "Diese Waffe verwendeten einst die Knappen der Ritter Celenheims."
	*ITEMNAME_WEAPON_HAMMER_BATTLE "Streithammer"
	*ITEMDESC_WEAPON_HAMMER_BATTLE "Dieser wuchtige Hammer hat sich bereits in vielen Kämpfen bewährt."
	*ITEMNAME_WEAPON_HAMMER_CHAOS "Chaoshammer"
	*ITEMDESC_WEAPON_HAMMER_CHAOS "Der Überbringer des Chaos. Wahre Krieger haben ihn zu schätzen gelernt."
	*ITEMNAME_WEAPON_HAMMER_HEAVYMORNINGSTAR "Streitkolben"
	*ITEMDESC_WEAPON_HAMMER_HEAVYMORNINGSTAR "Eine schwere und wuchtige Waffe, der manche Rüstung nicht trotzen kann."
	*ITEMNAME_WEAPON_HAMMER_MAGIC "Hammer des Zorns"
	*ITEMDESC_WEAPON_HAMMER_MAGIC "Die Mächte des Himmels sind in seinen Stahl gebannt."
	*ITEMNAME_WEAPON_BOW_SHORT "Kurzbogen"
	*ITEMDESC_WEAPON_BOW_SHORT "Ein schneller Bogen, mit geringer Reichweite und Kraft."
	*ITEMNAME_WEAPON_BOW_LONG "Langbogen"
	*ITEMDESC_WEAPON_BOW_LONG "Etwas langsamer im Gebrauch als der Kurzbogen, jedoch genauer und tödlicher."
	*ITEMNAME_WEAPON_BOW_BURST "Elfenbogen"
	*ITEMDESC_WEAPON_BOW_BURST "Dieses Meisterwerk der Elfen verschiesst ganze Salven von Pfeilen."
	*ITEMNAME_WEAPON_BOW_SNIPER "Präzisionsbogen"
	*ITEMDESC_WEAPON_BOW_SNIPER "Dieser Bogen ist auch auf grössere Entfernungen sehr verlässlich."
	*ITEMNAME_WEAPON_BOW_MAGIC "Magischer Bogen"
	*ITEMDESC_WEAPON_BOW_MAGIC "Die Elfen Celenheims fertigten diesen Bogen, der zu den Besten zählt."
	*ITEMNAME_WEAPON_CROSSBOW_LIGHT "Leichte Armbrust"
	*ITEMDESC_WEAPON_CROSSBOW_LIGHT "Leicht und gut handzuhaben. Verursacht mässigen Schaden."
	*ITEMNAME_WEAPON_CROSSBOW_DWARVEN "Zwergenarmbrust"
	*ITEMDESC_WEAPON_CROSSBOW_DWARVEN "Stark und zuverlässig, kann diese Waffe grossen Schaden anrichten."
	*ITEMNAME_WEAPON_CROSSBOW_HEAVY "Schwere Armbrust"
	*ITEMDESC_WEAPON_CROSSBOW_HEAVY "Mit ihrem kräftigen Federme- chanismus kann sie jedem Feind sehr gefährlich werden."
	*ITEMNAME_WEAPON_CROSSBOW_REPEATING "Repetier-Armbrust"
	*ITEMDESC_WEAPON_CROSSBOW_REPEATING "Von den Gnomen entwickelt, kann diese Armbrust schnelle Salven verschiessen."
	*ITEMNAME_WEAPON_CROSSBOW_MAGIC "Magische Armbrust"
	*ITEMDESC_WEAPON_CROSSBOW_MAGIC "Eine seltene, magische Armbrust, die die stärkste Panzerung durchschlägt."
	*ITEMNAME_WEAPON_STAFF_FIRE "Flammenstab"
	*ITEMDESC_WEAPON_STAFF_FIRE "Dieser Stab ruft Hitze, Feuer und Chaos herbei."
	*ITEMNAME_WEAPON_STAFF_COLD "Ewiger Winter"
	*ITEMDESC_WEAPON_STAFF_COLD "Der Träger dieses Stabs gewinnt die Kontrolle über kaltes Feuer."
	*ITEMNAME_WEAPON_STAFF_LIGHTNING "Stab der Stürme"
	*ITEMDESC_WEAPON_STAFF_LIGHTNING "Dieser Stab ruft die Mächte des Himmels herbei."
	*ITEMNAME_WEAPON_STAFF_POISON "Tränen der Fäulnis"
	*ITEMDESC_WEAPON_STAFF_POISON "Bringer des Siechtums, der Verderbnis und des Verfalls, ist dieser der Stab des Giftes."
	*ITEMNAME_WEAPON_STAFF_MIND "Seelenqual"
	*ITEMDESC_WEAPON_STAFF_MIND "Dieser Stab bezwingt seine Feinde mit den Mächten des Geistes."
	*ITEMNAME_WEAPON_STAFF_DARKNESS "Stab der Finsternis"
	*ITEMDESC_WEAPON_STAFF_DARKNESS "Ruft finstere Schatten herbei."
	*ITEMNAME_WEAPON_STAFF_SPIRIT "Astralstab"
	*ITEMDESC_WEAPON_STAFF_SPIRIT "Dieser Stab gibt dem Träger die Macht über die Geister der Natur."
	*ITEMNAME_WEAPON_STAFF_DOOM "Stab der Verdammnis"
	*ITEMDESC_WEAPON_STAFF_DOOM "Gebiete über die Schatten der Unterwelt."
	*ITEMNAME_WEAPON_STAFF_FIRE2 "Flammenstab"
	*ITEMDESC_WEAPON_STAFF_FIRE2 "Dieser Stab gibt ruft Hitze, Feuer und Chaos herbei."
	*ITEMNAME_WEAPON_STAFF_COLD2 "Ewiger Winter"
	*ITEMDESC_WEAPON_STAFF_COLD2 "Der Träger dieses Stabs gewinnt die Kontrolle über kaltes Feuer."
	*ITEMNAME_WEAPON_STAFF_LIGHTNING2 "Stab der Stürme"
	*ITEMDESC_WEAPON_STAFF_LIGHTNING2 " Dieser Stab ruft die Mächte des Himmels herbei."
	*ITEMNAME_WEAPON_STAFF_POISON2 "Tränen der Fäulnis"
	*ITEMDESC_WEAPON_STAFF_POISON2 "Bringer des Siechtums, der Verderbnis und des Verfalls, ist dieser der Stab des Giftes."
	*ITEMNAME_WEAPON_STAFF_MIND2 "Seelenqual"
	*ITEMDESC_WEAPON_STAFF_MIND2 "Dieser Stab bezwingt seine Feinde mit den Mächten des Geistes."
	*ITEMNAME_WEAPON_STAFF_DARKNESS2 "Stab der Finsternis"
	*ITEMDESC_WEAPON_STAFF_DaRKNESS2 "Ruft finstere Schatten herbei."
	*ITEMNAME_WEAPON_STAFF_SPIRIT2 "Astralstab"
	*ITEMDESC_WEAPON_STAFF_SPIRIT2 "Dieser Stab gibt dem Träger die Macht über die Geister der Natur."
	*ITEMNAME_WEAPON_STAFF_DOOM2 "Stab der Verdammnis"
	*ITEMDESC_WEAPON_STAFF_DOOM2 "Gebiete über die Schatten der Unterwelt."
	*ITEMNAME_WEAPON_STAFF_ASSEMBLY "Versammlungsstab"
	*ITEMDESC_WEAPON_STAFF_ASSEMBLY "Ein geheimnisvoller Stab der Versammlung der Sechs."
	*ITEMNAME_WEAPON_STAFF_MORDESSA "Mordessas Stab"
	*ITEMDESC_WEAPON_STAFF_MORDESSA "Mordessas Stab der Zerstörung."
	*ITEMNAME_WEAPON_STAFF_EARTHSPIRIT "Der Stab des Erdgeists"
	*ITEMDESC_WEAPON_STAFF_EARTHSPIRIT "Zales Stab des Erdgeists, der Zerstörer der Welt."
	*ITEMNAME_ITEM_SHIELD_TARGA "Holztarga"
	*ITEMDESC_ITEM_SHIELD_TARGA "Ein sehr leichter, hölzener Schild."
	*ITEMNAME_ITEM_SHIELD_BUCKLER "Einfacher Schild"
	*ITEMDESC_ITEM_SHIELD_BUCKLER "Ein kleiner, runder Schild aus Metall."
	*ITEMNAME_ITEM_SHIELD_SPIKED "Dornenschild"
	*ITEMDESC_ITEM_SHIELD_SPIKED "Ein grosser, hölzerner Schild, durch gefährliche Dornen geschützt und verstärkt."
	*ITEMNAME_ITEM_SHIELD_BRUTE "Monsterschild"
	*ITEMDESC_ITEM_SHIELD_BRUTE "Ein Holzschild bespannt mit starken Häuten erlegter Ungeheuer."
	*ITEMNAME_ITEM_SHIELD_ROUND "Rundschild"
	*ITEMDESC_ITEM_SHIELD_ROUND "Dieser grosse, schwere Schild aus Metall bietet seinem Träger reichlich Schutz."
	*ITEMNAME_ITEM_SHIELD_KITE "Drachenschild"
	*ITEMDESC_ITEM_SHIELD_KITE "Von dreieckiger Gestalt und in Metall gegossen, wird es von Rittern bevorzugt."
	*ITEMNAME_ITEM_SHIELD_ASSEMBLY "Versammlungsschild"
	*ITEMDESC_ITEM_SHIELD_ASSEMBLY "Ein Schild, der ursprünglich für Celenheims Elitewachen entworfen wurde."
	*ITEMNAME_ITEM_SHIELD_CHAOS "Chaosschild"
	*ITEMDESC_ITEM_SHIELD_CHAOS "Ein starker, verzierter Schild, der auch schwersten Treffern standhält."
	*ITEMNAME_ITEM_SHIELD_BLADE "Klingenschild"
	*ITEMDESC_ITEM_SHIELD_BLADE "Bietet zusätzlichen Schutz durch Klingen, die am Schild befestigt sind."
	*ITEMNAME_ITEM_SHIELD_THORN "Schattenschild"
	*ITEMDESC_ITEM_SHIELD_THORN "In der Unterwelt gefertigt, bietet dieser ungewöhnlich geformte Schild besten Schutz."
	*ITEMNAME_ITEM_SHIELD_ANCIENT "Ahnenschild"
	*ITEMDESC_ITEM_SHIELD_ANCIENT "Fast mannshoch, bietet dieser Schild bestmögliche Deckung."
	*ITEMNAME_ITEM_SHIELD_MAGIC "Verzauberter Schild"
	*ITEMDESC_ITEM_SHIELD_MAGIC "Aus magischem Stahl ge- schmiedet wehrt dieser Schild nahezu jedes Unheil ab."
	*ITEMNAME_ITEM_BOLT_NORMAL "§p0 Bolzen"
	*ITEMDESC_ITEM_BOLT_NORMAL "Normale Armbrustbolzen."
	*ITEMNAME_ITEM_BOLT_POISON "§p0 Giftbolzen"
	*ITEMDESC_ITEM_BOLT_POISON "Armbrustbolzen, die in Gift getaucht wurden."
	*ITEMNAME_ITEM_BOLT_MAGIC "§p0 magische Bolzen"
	*ITEMDESC_ITEM_BOLT_MAGIC "Magisch behandelte Armbrustbolzen."
	*ITEMNAME_ITEM_ARROW_BURST "§p0 Pfeile"
	*ITEMDESC_ITEM_ARROW_BURST "Auf der Bogensehne aufgereiht, können sie eine ganze Salve bilden."
	*ITEMNAME_ITEM_ARROW_FIRE "§p0 Feuerpfeile"
	*ITEMDESC_ITEM_ARROW_FIRE "Diese Pfeile gehen beim Auftreffen in Feuer auf."

	*ITEMNAME_ITEM_ARROW_LAFIRE "§p0 Brandpfeile"
	*ITEMDESC_ITEM_ARROW_LAFIRE "Grössere Pfeile, die beim Aufschlag in Feuer aufgehen."

	*ITEMNAME_ITEM_ARROW_GRENADE "§p0 Granatenpfeile"
	*ITEMDESC_ITEM_ARROW_GRENADE "Diese Pfeile wurden von Goblin-Alchemisten erfunden und explodieren am Ziel."
	*ITEMNAME_ITEM_ARROW_HEGRENADE "§p0 Sprengpfeile"
	*ITEMDESC_ITEM_ARROW_HEGRENADE "Hochexplosive Pfeile, die am Ziel explodieren."
	*ITEMNAME_ITEM_ARROW_SNIPER "§p0 Distanzpfeile"
	*ITEMDESC_ITEM_ARROW_SNIPER "Grosse, präzise Pfeile, die von Scharfschützen bevorzugt werden."
	*ITEMNAME_ITEM_ARROW_MAGIC "§p0 Magische Pfeile"
	*ITEMDESC_ITEM_ARROW_MAGIC "Magische Präzisionspfeile, die besonders grossen Schaden verursachen."
	*ITEMNAME_ARMOUR_LEVEL0 "Keine Rüstung"
	*ITEMDESC_ARMOUR_LEVEL0 "Du bist vollständig ungeschützt."
	*ITEMNAME_ARMOUR_LEVEL1 "Leichte Rüstung"
	*ITEMDESC_ARMOUR_LEVEL1 "Diese Rüstung bietet einen einfachen Schutz."
	*ITEMNAME_ARMOUR_LEVEL2 "Mittlere Rüstung"
	*ITEMDESC_ARMOUR_LEVEL2 "Diese Rüstung bietet Schutz gegen leichte bis schwere Treffer."
	*ITEMNAME_ARMOUR_LEVEL3 "Schwere Rüstung"
	*ITEMDESC_ARMOUR_LEVEL3 "Die stärkste verfügbare Rüstung."
	*ITEMNAME_ITEM_POTION_HEALTH "§p0 Heiltränke"
	*ITEMDESC_ITEM_POTION_HEALTH "Erweckt die Lebensgeister des Benutzers, und verschliesst seine erlittenen Wunden."
	*ITEMNAME_WEAPON_BOMB "§p0 Granaten"
	*ITEMDESC_WEAPON_BOMB "Diese Granaten explodieren einige Zeit nach der Zündung."
	*ITEMNAME_WEAPON_HEBOMB "§p0 Bomben"
	*ITEMDESC_WEAPON_HEBOMB "Mächtiger als eine Granate, explodiert diese Bombe, einige Sekunden nach Entzünden."
	*ITEMNAME_WEAPON_FIREBOTTLE "§p0 Ölbomben"
	*ITEMDESC_WEAPON_FIREBOTTLE "Goblin-Alchimisten entwickel- ten diese Brandbombe."
	*ITEMNAME_WEAPON_HEFIREBOTTLE "§p0 Schwere Ölbomben"
	*ITEMDESC_WEAPON_HEFIREBOTTLE "Mit mehr entzündlicher Flüs- sigkeit als Ölbomben, richten sie grösseren Schaden an."

	//-- Fix Queen Staff --//
	*ITEMNAME_WEAPON_STAFF_QUEEN "Königin-Stab"
	*ITEMDESC_WEAPON_STAFF_QUEEN "Das königliche Zepter von Celenheim."
	//-- Fix Potion Vine --//
	*ITEMNAME_ITEM_POTION_VINE "§p0 Gesunder Wein"
	*ITEMDESC_ITEM_POTION_VINE "Der Wein von Celenheim, wohltuend und gesund."

	// Game - Scoreboard
	*SCORE_DM			"Deathmatch"
	*SCORE_TDM			"Teamkampf"

	*SCORE_SCORE			"Punkte"
	*SCORE_TEAMSCORE		"Team-Punkte"
	*SCORE_PING			"Ping"
	*SCORE_PL			"PL"
	*SCORE_NAME			"Name"
	*SCORE_CONNECTING		"Verbinde..."
	*SCORE_KILLS			"Besiegt"
	*SCORE_DEATHS			"Gestorben"

	// Game - Team rules
	*GAME_ROUNDEND_TIMEOUT0	"Enemy team has not accomlished it's objective in time."
	*GAME_ROUNDEND_TIMEOUT1	"Objective not accomplished withing time limit."
	*GAME_ROUNDEND_KILLCHAR0	"§p0 has been assassinated."
	*GAME_ROUNDEND_KILLCHAR1	"§p0 has been assassinated."
	*GAME_ROUNDEND_KILLCHAR2	"Enemy has been assassinated."
	*GAME_ROUNDEND_KILLCHAR3	"Enemy has been assassinated."
	*GAME_ROUNDEND_EXIT0		"Your team have reached an escape zone."
	*GAME_ROUNDEND_EXIT1		"The enemy team have reached an escape zone."
	*GAME_ROUNDEND_EXITCHAR0	"§p0 have reached an escape zone."
	*GAME_ROUNDEND_EXITCHAR1	"§p0 have reached an escape zone."
	*GAME_ROUNDEND_WIPEOUT0	"You have eliminated the enemy team."
	*GAME_ROUNDEND_WIPEOUT1	"Your team has been eliminated."
	*GAME_ROUNDEND_WIPEOUT2	"Your team has been eliminated."
	*GAME_ROUNDEND_VICTORY	"Victory!"
	*GAME_ROUNDEND_DEFEAT		"Besiegt!"
	*GAME_TK0			"§p0 scores for the other team."
	*GAME_TK1			"§p0 slayed a team-mate."

	// Game - Survival
	*GAME_SV_DEFEAT		"Niederlage!"
	*GAME_SV_VICTORY		"Sieg!"
	*GAME_SV_ROUNDEND0		"Du wurdest von §p0 Feinden geschlagen, hast aber §p1 Feinde überlebt!"
	*GAME_SV_ROUNDEND1		"Du wurdest bezwungen, hast aber §p0 Feinde überlebt!"
	*GAME_SV_ROUNDEND1_SING	"Du wurdest bezwungen, hast aber 1 Feind überlebt!"
	*GAME_SV_ROUNDEND2		"Du hast alle §p0 Feinde bezwungen!"
	*GAME_SV_ROUNDEND2_SING	"Du hast den Feind geschlagen!"

	// Game - Campaign
	*GAME_CAMP_SV_ROUNDEND0			"Du wurdest von §p0 Feinden geschlagen,"
	*GAME_CAMP_SV_ROUNDEND1			"hast aber §p0 Feinde überlebt."
	*GAME_CAMP_SV_ROUNDEND2			"Du hast alle §p0 Feinde bezwungen!"
	*GAME_CAMP_MISSIONCOMPLETE		"Mission geschafft"
	*GAME_CAMP_MISSIONFAIL			"Mission gescheitert"
	*GAME_CAMP_CONGRATS			"Hervorragend!"
	*GAME_CAMP_AWARDPOOLGOLD 		"§p0 neue Goldstücke wurden hinzugefügt"
	*GAME_CAMP_AWARDITEM 			"Du hast einen neuen Gegenstand im Wert von §p0 Goldstücken gefunden"
	*GAME_CAMP_AWARDGOLD		"Es wurden §p0 von §p1 Goldstücken gefunden"
	*GAME_CAMP_AWARDGOLD2			"Du hast §p0 von §p1 Goldstücken gefunden||Vorher hattest du bereits §p2 Goldstücke auf dieser Karte gefunden"
	*GAME_CAMP_AWARDMISSION			"Es wurde eine neue Mission freigeschaltet."
	*GAME_CAMP_AWARDCHARACTER 		"Es wurde ein neuer Charakter freigeschaltet."
	*GAME_CAMP_AWARDMISSIONGOLD		"§p0 Goldstücke als Belohnung erhalten."
